n,2n,3(n-1)
2097152,4194304,0
349525,699050,116508
349524,699048,0
349520,699040,0
58253,116506,0
58252,116504,19417
9708,19416,0
349504,699008,116501
58250,116500,0
58248,116496,0
58240,116480,19413
9706,19412,3235
9704,19408,0
1617,3234,0
1616,3232,0
269,538,0
349440,698880,0
349184,698368,0
58197,116394,0
58196,116392,0
9699,19398,0
58192,116384,19397
9698,19396,0
9696,19392,0
58176,116352,0
58112,116224,0
9685,19370,3228
9684,19368,0
9680,19360,0
1613,3226,0
1612,3224,537
268,536,89
9664,19328,3221
1610,3220,0
1608,3216,0
1600,3200,533
266,532,0
264,528,0
348160,696320,116053
58026,116052,0
58024,116048,19341
9670,19340,3223
58016,116032,0
9669,19338,0
9668,19336,0
1611,3222,0
57984,115968,0
57856,115712,19285
9642,19284,0
9640,19280,3213
1606,3212,535
9632,19264,0
1605,3210,0
1604,3208,0
267,534,0
9600,19200,0
57344,114688,0
9557,19114,0
9556,19112,3185
1592,3184,0
265,530,88
9552,19104,0
